"region_count","ratio_tumor_tissue","largest_tumor_area","longest_axis_largest_tumor","pixels_gt_90","avg_prediction","max_area","mean_area","area_variance","area_skew","area_kurt","max_perimeter","mean_perimeter","perimeter_variance","perimeter_skew","perimeter_kurt","max_eccentricity","mean_eccentricity","eccentricity_variance","eccentricity_skew","eccentricity_kurt","max_extent","mean_extent","extent_variance","extent_skew","extent_kurt","max_solidity","mean_solidity","solidity_variance","solidity_skew","solidity_kurt","label"
17.0,0.0,15.0,6.6,33.0,242.94,8.0,1.94,3.47,2.22,4.08,8.21,1.14,5.17,1.96,2.89,1.0,0.26,0.17,0.94,-1.08,1.0,0.92,0.03,-1.95,2.26,1.0,0.98,0.0,-2.57,4.95,0
33.0,0.0,9.0,4.62,38.0,241.08,3.0,1.15,0.19,2.96,8.22,3.41,0.1,0.34,5.48,28.03,1.0,0.12,0.1,2.35,3.6,1.0,0.95,0.02,-2.82,6.78,1.0,1.0,0.0,0.0,-3.0,0
6.0,0.0,4.0,2.0,8.0,236.92,2.0,1.33,0.22,0.71,-1.5,0.0,0.0,0.0,0.0,-3.0,1.0,0.33,0.22,0.71,-1.5,1.0,0.98,0.01,-4.65,21.78,1.0,1.0,0.0,0.0,-3.0,0
4.0,0.0,9.0,4.71,4.0,240.25,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.97,0.01,-3.43,10.83,1.0,1.0,0.0,0.0,-3.0,0
5.0,0.0,4.0,2.0,5.0,235.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.97,0.01,-3.98,14.92,1.0,1.0,0.0,0.0,-3.0,0
24.0,0.0,10.0,6.84,31.0,238.44,4.0,1.29,0.54,2.63,6.0,4.0,0.31,1.06,3.05,7.4,1.0,0.12,0.1,2.31,3.41,1.0,0.96,0.02,-3.16,9.42,1.0,1.0,0.0,0.0,-3.0,0
12.0,0.0,6.0,4.5,13.0,241.17,2.0,1.08,0.08,3.02,7.09,0.0,0.0,0.0,0.0,-3.0,1.0,0.08,0.08,3.02,7.09,1.0,0.95,0.01,-2.39,4.87,1.0,1.0,0.0,0.0,-3.0,0
2.0,0.0,5.0,3.76,2.0,240.5,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.96,0.01,-3.03,7.91,1.0,1.0,0.0,0.0,-3.0,0
9.0,0.0,10.0,4.67,9.0,240.11,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.97,0.01,-3.28,9.93,1.0,1.0,0.0,0.0,-3.0,0
21.0,0.0,26.0,10.71,47.0,240.22,13.0,2.24,6.66,3.43,11.46,11.62,1.12,7.43,2.84,7.71,1.0,0.41,0.23,0.31,-1.88,1.0,0.94,0.02,-2.3,3.9,1.0,0.99,0.0,-4.25,16.05,0
9.0,0.0,9.0,6.0,14.0,237.57,3.0,1.56,0.47,0.84,-0.5,1.0,0.11,0.1,2.47,4.12,1.0,0.44,0.25,0.22,-1.95,1.0,0.94,0.02,-2.25,3.6,1.0,1.0,0.0,0.0,-3.0,0
77.0,0.0,571.0,40.52,532.0,240.86,423.0,6.91,2279.04,8.6,71.95,220.72,3.15,624.24,8.57,71.69,1.0,0.26,0.19,1.04,-0.89,1.0,0.94,0.02,-2.26,3.68,1.0,0.99,0.0,-6.55,42.86,0
9.0,0.0,8.0,4.42,13.0,242.33,3.0,1.44,0.47,1.24,0.17,3.41,0.38,1.15,2.47,4.13,1.0,0.31,0.2,0.75,-1.4,1.0,0.96,0.01,-3.26,9.82,1.0,1.0,0.0,0.0,-3.0,0
14.0,0.0,10.0,5.18,18.0,237.74,3.0,1.29,0.35,1.93,2.48,3.41,0.24,0.77,3.33,9.08,1.0,0.2,0.15,1.43,0.1,1.0,0.96,0.01,-3.23,10.32,1.0,1.0,0.0,0.0,-3.0,0
8.0,0.0,36.0,12.92,8.0,236.88,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.95,0.02,-2.73,6.72,1.0,1.0,0.0,0.0,-3.0,0
2.0,0.0,4.0,2.0,2.0,235.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.98,0.0,-3.38,9.41,1.0,1.0,0.0,0.0,-3.0,0
24.0,0.0,10.0,5.95,35.0,238.64,5.0,1.46,1.08,2.33,4.33,5.21,0.53,2.01,2.43,4.22,1.0,0.15,0.12,1.84,1.46,1.0,0.95,0.02,-2.82,7.09,1.0,1.0,0.0,0.0,-3.0,0
4.0,0.0,9.0,4.62,8.0,239.1,5.0,2.0,3.0,1.15,-0.67,5.21,1.3,5.08,1.15,-0.67,0.82,0.2,0.12,1.15,-0.67,1.0,0.95,0.02,-2.19,3.77,1.0,1.0,0.0,0.0,-3.0,0
9.0,0.0,29.0,11.0,13.0,232.04,3.0,1.44,0.47,1.24,0.17,1.21,0.13,0.14,2.47,4.13,1.0,0.33,0.22,0.71,-1.5,1.0,0.92,0.03,-1.99,2.67,1.0,1.0,0.0,0.0,-3.0,0
1.0,0.0,8.0,3.46,1.0,230.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.95,0.02,-2.61,5.29,1.0,1.0,0.0,0.0,-3.0,0
4.0,0.0,8.0,4.9,4.0,243.75,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.92,0.03,-2.04,3.01,1.0,1.0,0.0,0.0,-3.0,0
7.0,0.0,12.0,5.14,9.0,241.52,3.0,1.29,0.49,2.04,2.17,3.41,0.49,1.43,2.04,2.17,0.82,0.12,0.08,2.04,2.17,1.0,0.94,0.02,-2.42,4.42,1.0,1.0,0.0,0.0,-3.0,0
16.0,0.0,20.0,7.32,33.0,236.91,8.0,2.06,3.18,2.28,4.83,8.0,1.18,5.07,1.88,2.6,1.0,0.35,0.2,0.55,-1.65,1.0,0.92,0.03,-1.9,2.22,1.0,0.99,0.0,-3.61,11.07,0
95.0,0.0,75.0,15.51,242.0,238.6,18.0,2.55,9.22,3.55,13.82,18.41,1.61,10.28,2.84,9.68,1.0,0.43,0.21,0.17,-1.9,1.0,0.87,0.04,-1.16,-0.05,1.0,0.98,0.0,-3.38,11.73,0
5.0,0.0,6.0,3.65,6.0,234.2,2.0,1.2,0.16,1.5,0.25,0.0,0.0,0.0,0.0,-3.0,1.0,0.2,0.16,1.5,0.25,1.0,0.95,0.02,-2.3,4.37,1.0,1.0,0.0,0.0,-3.0,0
340.0,0.0,54.0,17.01,856.0,241.98,20.0,2.52,7.26,3.16,12.65,16.49,1.52,8.49,2.37,6.45,1.0,0.44,0.22,0.13,-1.92,1.0,0.89,0.03,-1.41,0.54,1.0,0.98,0.0,-3.78,14.54,0
31.0,0.0,11.0,4.53,45.0,239.71,4.0,1.45,0.51,1.79,3.25,4.62,0.18,0.69,4.97,23.49,1.0,0.35,0.22,0.62,-1.6,1.0,0.95,0.02,-2.44,4.94,1.0,1.0,0.0,0.0,-3.0,0
127.0,0.0,95.0,12.93,532.0,242.2,70.0,4.19,70.01,5.19,32.17,41.56,2.78,40.59,3.65,15.15,1.0,0.5,0.22,-0.1,-1.92,1.0,0.91,0.03,-1.78,1.91,1.0,0.97,0.01,-2.88,7.84,0
7.0,0.0,14.0,7.66,10.0,239.43,4.0,1.43,1.1,2.04,2.17,4.41,0.63,2.39,2.04,2.17,0.92,0.13,0.1,2.04,2.17,1.0,0.94,0.02,-2.3,4.12,1.0,1.0,0.0,0.0,-3.0,0
10.0,0.0,30.0,9.48,23.0,248.8,7.0,2.3,3.41,1.56,1.39,5.41,0.98,3.14,1.64,1.23,1.0,0.47,0.22,0.03,-1.97,1.0,0.92,0.03,-2.07,2.94,1.0,0.98,0.0,-2.67,5.11,0
25.0,0.0,16.0,4.84,47.0,236.97,13.0,1.88,5.63,4.12,16.36,10.83,0.59,4.98,3.99,14.93,1.0,0.3,0.2,0.87,-1.18,1.0,0.91,0.03,-1.75,1.59,1.0,1.0,0.0,0.0,-3.0,0
13.0,0.0,11.0,4.99,23.0,240.1,4.0,1.77,1.1,0.87,-0.81,4.0,1.1,2.72,0.86,-1.22,1.0,0.27,0.16,0.88,-1.17,1.0,0.94,0.02,-2.23,3.42,1.0,1.0,0.0,0.0,-3.0,0
136.0,0.0,60.0,14.46,179.0,236.66,5.0,1.32,0.53,3.03,10.4,4.83,0.19,0.66,4.23,16.56,1.0,0.2,0.16,1.44,0.13,1.0,0.91,0.03,-1.67,1.4,1.0,1.0,0.0,-8.84,79.59,0
17.0,0.0,38.0,13.39,27.0,236.66,10.0,1.59,4.48,3.68,11.7,10.21,0.6,5.77,3.75,12.06,1.0,0.11,0.1,2.38,3.66,1.0,0.91,0.03,-1.79,1.9,1.0,0.99,0.0,-3.75,12.06,0
32.0,0.0,50.0,12.36,70.0,237.54,15.0,2.19,7.15,3.61,13.86,12.04,1.12,6.83,2.74,7.5,1.0,0.3,0.19,0.79,-1.29,1.0,0.88,0.04,-1.4,0.64,1.0,0.99,0.0,-5.39,27.03,0
19.0,0.0,34.0,12.93,32.0,236.92,3.0,1.68,0.53,0.57,-0.95,3.41,0.54,1.55,1.88,1.52,1.0,0.5,0.23,-0.06,-1.94,1.0,0.88,0.04,-1.36,0.34,1.0,1.0,0.0,0.0,-3.0,0
74.0,0.0,27.0,9.3,114.0,239.58,7.0,1.54,1.06,2.87,10.25,6.83,0.46,1.75,3.0,8.52,1.0,0.3,0.19,0.83,-1.25,1.0,0.92,0.03,-1.83,2.09,1.0,1.0,0.0,-8.43,69.01,0
10.0,0.0,6.0,5.08,11.0,238.2,2.0,1.1,0.09,2.67,5.11,0.0,0.0,0.0,0.0,-3.0,1.0,0.1,0.09,2.67,5.11,1.0,0.95,0.01,-2.52,5.23,1.0,1.0,0.0,0.0,-3.0,0
19.0,0.0,8.0,4.19,24.0,239.13,4.0,1.26,0.51,3.04,8.5,4.41,0.23,0.97,4.01,14.06,1.0,0.15,0.13,1.88,1.56,1.0,0.95,0.02,-2.41,4.6,1.0,1.0,0.0,0.0,-3.0,0
152.0,0.0,46.0,11.82,279.0,237.95,10.0,1.84,2.74,3.24,11.62,10.07,0.76,3.75,2.84,7.8,1.0,0.36,0.21,0.5,-1.7,1.0,0.89,0.03,-1.45,0.74,1.0,1.0,0.0,-5.59,30.6,0
44.0,0.0,20.0,10.38,75.0,241.22,11.0,1.7,2.66,4.31,21.16,11.04,0.59,3.57,4.16,18.81,1.0,0.31,0.2,0.8,-1.33,1.0,0.93,0.02,-2.12,3.46,1.0,0.99,0.0,-4.87,22.96,0
9.0,0.0,16.0,10.27,9.0,238.22,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.93,0.02,-2.16,3.36,1.0,1.0,0.0,0.0,-3.0,0
75.0,0.0,26.0,8.94,127.0,238.3,8.0,1.69,1.76,2.7,8.25,7.83,0.7,2.74,2.42,5.3,1.0,0.27,0.18,0.94,-1.06,1.0,0.92,0.03,-1.77,1.8,1.0,0.99,0.0,-5.84,35.24,0
2.0,0.0,14.0,12.6,2.0,241.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.9,0.04,-1.85,2.07,1.0,1.0,0.0,0.0,-3.0,0
39.0,0.0,34.0,9.76,64.0,242.11,7.0,1.64,1.46,2.8,8.61,7.41,0.45,2.04,3.66,13.29,1.0,0.35,0.22,0.6,-1.62,1.0,0.91,0.03,-1.65,1.24,1.0,0.99,0.0,-4.21,16.12,0
9.0,0.0,9.0,5.49,10.0,242.06,2.0,1.11,0.1,2.47,4.12,0.0,0.0,0.0,0.0,-3.0,1.0,0.11,0.1,2.47,4.12,1.0,0.92,0.03,-1.63,1.05,1.0,1.0,0.0,0.0,-3.0,0
35.0,0.0,14.0,8.55,52.0,242.21,4.0,1.49,0.59,1.55,1.68,4.0,0.41,1.29,2.45,4.08,1.0,0.3,0.2,0.83,-1.27,1.0,0.95,0.02,-2.46,4.92,1.0,1.0,0.0,0.0,-3.0,0
2.0,0.0,6.0,3.97,2.0,245.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.97,0.01,-3.32,9.5,1.0,1.0,0.0,0.0,-3.0,0
38.0,0.01,971.0,43.27,864.0,241.37,541.0,22.74,7983.88,5.2,26.88,257.65,11.61,1891.52,4.9,24.17,1.0,0.51,0.22,-0.15,-1.91,1.0,0.92,0.03,-2.07,3.12,1.0,0.96,0.01,-2.76,6.42,1
7.0,0.0,68.0,17.85,61.0,244.14,52.0,8.71,312.78,2.03,2.15,37.73,5.88,170.46,2.01,2.09,1.0,0.4,0.21,0.32,-1.85,1.0,0.96,0.01,-2.8,6.75,1.0,0.96,0.01,-2.04,2.17,1
6.0,0.0,166.0,24.37,159.0,242.62,144.0,26.5,2774.58,1.77,1.16,73.49,13.82,724.01,1.73,1.08,0.88,0.26,0.14,0.76,-1.35,1.0,0.96,0.02,-2.64,5.12,1.0,0.94,0.02,-1.79,1.2,1
28.0,0.0,74.0,29.68,166.0,240.33,61.0,5.93,226.49,3.29,8.93,47.01,3.32,99.87,3.54,11.54,1.0,0.43,0.22,0.21,-1.89,1.0,0.92,0.03,-2.13,3.63,1.0,0.98,0.0,-3.4,10.06,1
126.0,0.21,27108.0,257.91,41518.0,239.59,23660.0,329.51,6611222.74,8.06,64.6,5733.21,92.51,476481.37,7.76,58.3,1.0,0.51,0.21,-0.18,-1.89,1.0,0.93,0.02,-2.06,2.91,1.0,0.95,0.01,-2.81,7.68,1
10.0,0.0,29.0,10.79,44.0,239.95,22.0,4.4,40.64,2.05,2.89,17.86,3.09,31.24,1.79,2.0,1.0,0.35,0.19,0.48,-1.67,1.0,0.95,0.02,-2.32,4.14,1.0,0.97,0.0,-1.85,1.85,1
18.0,0.0,472.0,38.41,473.0,241.54,411.0,26.28,8763.53,3.84,12.85,151.71,10.33,1205.96,3.73,12.27,1.0,0.34,0.19,0.55,-1.59,1.0,0.95,0.02,-2.3,4.01,1.0,0.97,0.01,-3.14,8.66,1
24.0,0.03,3548.0,80.21,4080.0,241.49,3282.0,170.0,436859.33,4.35,17.49,557.37,31.77,12806.31,4.19,16.42,1.0,0.45,0.21,0.07,-1.92,1.0,0.96,0.02,-2.96,7.59,1.0,0.97,0.0,-1.55,0.56,1
7.0,0.0,18.0,6.18,19.0,240.77,10.0,2.71,9.92,1.66,1.16,8.83,1.83,10.06,1.44,0.49,0.87,0.12,0.09,2.04,2.17,1.0,0.96,0.01,-2.74,6.62,1.0,1.0,0.0,0.0,-3.0,1
44.0,0.04,1641.0,94.24,6699.0,246.17,1231.0,152.25,87130.41,2.34,5.14,264.8,42.07,4395.61,1.82,2.48,1.0,0.59,0.14,-0.72,-1.12,1.0,0.9,0.03,-1.49,0.61,1.0,0.91,0.01,-0.78,-0.56,1
29.0,0.01,2302.0,79.3,2079.0,241.4,1997.0,71.69,132400.9,5.1,24.03,818.48,30.06,22213.26,5.1,24.0,1.0,0.27,0.16,0.88,-1.14,1.0,0.94,0.02,-2.59,5.88,1.0,0.96,0.01,-2.77,6.27,1
11.0,0.0,291.0,34.39,239.0,243.09,203.0,21.73,3321.11,2.79,5.91,108.78,12.28,958.73,2.71,5.59,0.92,0.32,0.18,0.58,-1.65,1.0,0.94,0.02,-2.37,4.35,1.0,0.96,0.01,-2.35,4.07,1
162.0,0.02,4568.0,166.3,2952.0,238.57,1068.0,18.22,8967.35,9.3,94.16,767.67,12.99,4515.24,9.47,98.14,1.0,0.57,0.2,-0.47,-1.67,1.0,0.86,0.04,-1.18,0.03,1.0,0.93,0.02,-1.85,2.45,1
154.0,0.15,14536.0,244.65,41666.0,242.04,13436.0,270.56,2691163.99,6.77,46.32,2149.69,41.37,62449.59,7.55,57.96,1.0,0.47,0.19,-0.03,-1.87,1.0,0.91,0.03,-1.7,1.49,1.0,0.95,0.01,-2.29,5.53,1
340.0,0.08,11487.0,174.48,10953.0,240.86,8189.0,32.21,196642.25,18.3,333.7,3590.39,16.15,37846.94,18.24,332.12,1.0,0.54,0.2,-0.33,-1.78,1.0,0.82,0.05,-0.82,-0.88,1.0,0.95,0.01,-2.16,3.99,1
19.0,0.0,28.0,9.59,46.0,239.27,22.0,2.42,21.61,3.91,13.56,16.24,1.03,13.43,3.76,12.63,1.0,0.3,0.2,0.82,-1.3,1.0,0.97,0.01,-3.45,11.86,1.0,1.0,0.0,-4.01,14.06,1
328.0,0.23,17520.0,250.74,29002.0,241.79,12684.0,88.42,882869.88,12.51,156.65,5675.02,42.4,177888.19,12.5,156.35,1.0,0.59,0.18,-0.59,-1.5,1.0,0.87,0.04,-1.16,-0.06,1.0,0.93,0.02,-1.76,2.07,1
95.0,0.04,2601.0,97.86,2724.0,239.44,1394.0,28.67,29022.16,7.04,49.12,655.81,13.71,5836.69,7.34,54.67,1.0,0.48,0.21,-0.05,-1.93,1.0,0.89,0.04,-1.62,1.58,1.0,0.95,0.01,-2.53,6.92,1
27.0,0.01,877.0,66.63,2139.0,243.62,758.0,79.22,27411.88,2.87,8.11,294.66,35.37,4266.03,2.66,6.96,1.0,0.54,0.18,-0.41,-1.7,1.0,0.9,0.03,-1.78,1.96,1.0,0.89,0.02,-1.2,0.37,1
17.0,0.08,1577.0,56.83,2249.0,247.61,1525.0,132.29,125276.21,3.55,11.11,186.44,30.82,2117.68,2.24,4.83,1.0,0.68,0.11,-1.31,0.15,1.0,0.79,0.04,-0.25,-1.1,1.0,0.91,0.02,-1.31,0.36,1
19.0,0.0,214.0,39.26,152.0,240.86,81.0,8.0,327.89,3.43,10.93,58.08,5.59,180.05,3.16,9.4,1.0,0.43,0.21,0.15,-1.91,1.0,0.94,0.02,-2.38,4.33,1.0,0.95,0.01,-1.81,1.48,1
20.0,0.04,2801.0,74.21,2682.0,239.39,2660.0,134.1,335798.69,4.13,15.05,336.68,17.0,5379.17,4.13,15.05,1.0,0.13,0.09,2.05,2.37,1.0,0.94,0.02,-2.44,4.77,1.0,0.99,0.0,-4.13,15.05,1
43.0,0.01,472.0,45.58,871.0,241.71,425.0,20.26,7438.93,4.32,16.66,151.71,6.78,901.76,4.33,16.9,1.0,0.18,0.14,1.63,0.69,1.0,0.94,0.02,-2.33,3.99,1.0,0.99,0.0,-4.32,16.74,1
